"Attribute Set","Ensemble d'attributs"
"Attribute to sort the entities by","Attribut pour trier les entités"
"Conditions Combination","Combinaison de conditions"
"Conditions","Conditions"
"Custom Entity Attribute","Attribut d'entité personnalisée"
"Discover","Découvrir"
"Display Page Control","Afficher le contrôle de pagination"
"Display custom entities with advanced filtering and sorting options","Afficher des entités personnalisées avec options avancées de filtrage et de tri"
"Enter Image Height Ex. 400, do not suffix with px","Entrez la hauteur de l'image Ex. 400, sans suffixe px"
"Enter Image width Ex. 400, do not suffix with px","Entrez la largeur de l'image Ex. 400, sans suffixe px"
"Grid Template","Modèle de grille"
"Heading Title","Titre d'en-tête"
"Image Height","Hauteur de l'image"
"Image Width","Largeur de l'image"
"No","Non"
"Number of Items per Page","Nombre d'éléments par page"
"Number of Items to display","Nombre d'éléments à afficher"
"Select Attribute Set...","Sélectionner un ensemble d'attributs..."
"Show Footer Button","Afficher le bouton de pied de page"
"Smile Custom Entity Widget","Widget d'entités personnalisées Smile"
"Sort direction","Direction de tri"
"Template","Modèle"
"Text Footer Button","Texte du bouton de pied de page"
"Yes","Oui"